oblast,raion,hromada,level,started_at,finished_at,source
Lvivska oblast,,,oblast,2022-10-17 06:22:41+00:00,2022-10-17 06:35:19+00:00,official
Lvivska oblast,,,oblast,2022-10-17 09:52:27+00:00,2022-10-17 12:10:24+00:00,official
Lvivska oblast,,,oblast,2022-10-18 05:22:27+00:00,2022-10-18 07:02:52+00:00,official
Lvivska oblast,,,oblast,2022-10-19 10:22:40+00:00,2022-10-19 11:55:33+00:00,official
Lvivska oblast,,,oblast,2022-10-20 07:09:29+00:00,2022-10-20 08:35:11+00:00,official
Lvivska oblast,,,oblast,2022-10-21 12:15:05+00:00,2022-10-21 13:28:43+00:00,official
Lvivska oblast,,,oblast,2022-10-22 04:53:28+00:00,2022-10-22 07:56:19+00:00,official
Lvivska oblast,,,oblast,2022-10-22 08:38:00+00:00,2022-10-22 09:41:43+00:00,official
Lvivska oblast,,,oblast,2022-10-24 10:25:35+00:00,2022-10-24 11:50:07+00:00,official
Lvivska oblast,,,oblast,2022-10-26 12:12:38+00:00,2022-10-26 13:27:58+00:00,official
Lvivska oblast,,,oblast,2022-10-26 14:47:50+00:00,2022-10-26 15:31:45+00:00,official
Lvivska oblast,,,oblast,2022-10-26 15:44:22+00:00,2022-10-26 16:36:30+00:00,official
Lvivska oblast,,,oblast,2022-10-26 18:30:55+00:00,2022-10-26 20:08:57+00:00,official
Lvivska oblast,,,oblast,2022-10-27 08:47:19+00:00,2022-10-27 10:18:48+00:00,official
Lvivska oblast,,,oblast,2022-10-29 14:40:39+00:00,2022-10-29 16:05:10+00:00,official
Lvivska oblast,,,oblast,2022-10-31 05:23:08+00:00,2022-10-31 08:07:11+00:00,official
Lvivska oblast,,,oblast,2022-11-01 07:12:17+00:00,2022-11-01 08:41:48+00:00,official
Lvivska oblast,,,oblast,2022-11-04 03:08:24+00:00,2022-11-04 03:29:53+00:00,official
Lvivska oblast,,,oblast,2022-11-04 14:48:30+00:00,2022-11-04 15:13:55+00:00,official
Lvivska oblast,,,oblast,2022-11-05 07:09:35+00:00,2022-11-05 08:36:55+00:00,official
Lvivska oblast,,,oblast,2022-11-09 11:01:59+00:00,2022-11-09 12:28:49+00:00,official
Lvivska oblast,,,oblast,2022-11-12 12:25:19+00:00,2022-11-12 13:55:28+00:00,official
Lvivska oblast,,,oblast,2022-11-13 07:18:36+00:00,2022-11-13 08:52:53+00:00,official
Lvivska oblast,,,oblast,2022-11-13 10:09:09+00:00,2022-11-13 11:37:13+00:00,official
Lvivska oblast,,,oblast,2022-11-15 12:44:32+00:00,2022-11-15 16:20:19+00:00,official
Lvivska oblast,,,oblast,2022-11-16 07:48:04+00:00,2022-11-16 08:29:06+00:00,official
Lvivska oblast,,,oblast,2022-11-17 06:42:16+00:00,2022-11-17 08:59:37+00:00,official
Lvivska oblast,,,oblast,2022-11-20 07:14:51+00:00,2022-11-20 08:48:09+00:00,official
Lvivska oblast,,,oblast,2022-11-23 11:11:06+00:00,2022-11-23 13:16:12+00:00,official
Lvivska oblast,,,oblast,2022-11-29 10:38:07+00:00,2022-11-29 10:54:17+00:00,official
Lvivska oblast,,,oblast,2022-12-01 12:22:05+00:00,2022-12-01 13:31:15+00:00,official
Lvivska oblast,,,oblast,2022-12-05 11:40:43+00:00,2022-12-05 14:10:49+00:00,official
Lvivska oblast,,,oblast,2022-12-13 12:41:47+00:00,2022-12-13 13:53:03+00:00,official
Lvivska oblast,,,oblast,2022-12-16 06:33:25+00:00,2022-12-16 10:17:11+00:00,official
Lvivska oblast,,,oblast,2022-12-17 09:25:29+00:00,2022-12-17 11:06:00+00:00,official
Lvivska oblast,,,oblast,2022-12-21 10:28:34+00:00,2022-12-21 12:24:53+00:00,official
Lvivska oblast,,,oblast,2022-12-21 12:52:49+00:00,2022-12-21 13:10:23+00:00,official
Lvivska oblast,,,oblast,2022-12-25 07:24:50+00:00,2022-12-25 09:14:56+00:00,official
Lvivska oblast,,,oblast,2022-12-25 12:26:58+00:00,2022-12-25 14:21:12+00:00,official
Lvivska oblast,,,oblast,2022-12-27 12:43:37+00:00,2022-12-27 14:30:08+00:00,official
Lvivska oblast,,,oblast,2022-12-28 09:22:34+00:00,2022-12-28 11:19:35+00:00,official
Lvivska oblast,,,oblast,2022-12-29 06:02:14+00:00,2022-12-29 08:47:38+00:00,official
Lvivska oblast,,,oblast,2022-12-30 10:04:29+00:00,2022-12-30 10:22:16+00:00,official
Lvivska oblast,,,oblast,2022-12-31 11:04:15+00:00,2022-12-31 14:02:27+00:00,official
Lvivska oblast,,,oblast,2022-12-31 22:36:32+00:00,2022-12-31 23:21:21+00:00,official
Lvivska oblast,,,oblast,2023-01-04 08:37:21+00:00,2023-01-04 10:36:44+00:00,official
Lvivska oblast,,,oblast,2023-01-06 10:47:34+00:00,2023-01-06 12:39:05+00:00,official
Lvivska oblast,,,oblast,2023-01-14 13:00:32+00:00,2023-01-14 15:03:42+00:00,official
Lvivska oblast,,,oblast,2023-01-19 08:14:57+00:00,2023-01-19 09:48:55+00:00,official
Lvivska oblast,,,oblast,2023-01-20 10:41:39+00:00,2023-01-20 12:28:35+00:00,official
Lvivska oblast,,,oblast,2023-01-24 12:38:30+00:00,2023-01-24 13:18:23+00:00,official
Lvivska oblast,,,oblast,2023-01-25 07:08:47+00:00,2023-01-25 08:57:40+00:00,official
Lvivska oblast,,,oblast,2023-01-25 12:03:06+00:00,2023-01-25 13:42:06+00:00,official
Lvivska oblast,,,oblast,2023-01-26 06:12:38+00:00,2023-01-26 10:09:21+00:00,official
Lvivska oblast,,,oblast,2023-01-31 09:17:50+00:00,2023-01-31 09:45:55+00:00,official
Lvivska oblast,,,oblast,2023-01-31 10:50:25+00:00,2023-01-31 11:05:57+00:00,official
Lvivska oblast,,,oblast,2023-01-31 12:31:03+00:00,2023-01-31 12:58:20+00:00,official
Lvivska oblast,,,oblast,2023-02-03 08:32:28+00:00,2023-02-03 10:15:44+00:00,official
Lvivska oblast,,,oblast,2023-02-03 14:36:47+00:00,2023-02-03 15:19:45+00:00,official
Lvivska oblast,,,oblast,2023-02-04 07:06:53+00:00,2023-02-04 08:54:21+00:00,official
